#time,temperature (C),humidity
2022-06-10T22:40:43,24.1,43.4
2022-06-10T22:42:32,24.0,43.2
2022-06-10T22:44:03,24.0,43.2
2022-06-10T22:44:07,24.0,43.2
2022-06-10T22:44:09,24.0,43.1
2022-06-10T22:47:11,24.0,43.1
2022-06-10T22:53:24,24.0,43.1
2022-06-10T22:54:05,23.9,43.0
2022-06-10T22:54:52,23.9,43.0
2022-06-10T22:56:40,23.9,43.0
2022-06-10T22:58:02,23.9,42.9
2022-06-10T23:01:11,23.9,42.9
2022-06-10T23:08:20,23.9,43.0
2022-06-10T23:52:58,24.9,43.0
2022-06-10T23:57:25,23.6,45.1
2022-06-11T00:06:15,23.5,45.4
2022-06-11T00:09:15,23.5,45.9
2022-06-11T00:30:22,23.5,45.9
2022-06-11T01:00:15,23.4,46.2
2022-06-11T01:30:14,23.2,46.8
2022-06-11T02:00:13,23.2,47.4
2022-06-11T02:30:13,23.2,48.5
2022-06-11T03:00:14,23.1,47.6
2022-06-11T03:30:14,23.0,48.7
2022-06-11T04:00:12,22.9,48.8
2022-06-11T04:30:16,22.8,49.8
2022-06-11T05:00:21,22.8,49.7
2022-06-11T05:30:15,22.8,51.1
2022-06-11T06:00:17,22.7,50.4
2022-06-11T06:30:18,22.7,51.5
2022-06-11T07:00:16,22.7,52.0
2022-06-11T07:30:15,22.7,51.8
2022-06-11T08:00:16,22.8,51.8
2022-06-11T08:30:16,23.2,51.3
2022-06-11T09:00:16,23.6,50.8
2022-06-11T09:30:16,23.7,50.4
2022-06-11T10:00:16,23.8,50.4
2022-06-11T10:30:16,24.0,50.4
2022-06-11T11:00:14,24.0,50.4
2022-06-11T11:30:17,24.3,51.0
2022-06-11T12:00:14,24.4,50.7
2022-06-11T12:30:18,24.4,51.4
2022-06-11T13:00:20,24.4,51.1
2022-06-11T13:30:18,24.2,51.8
2022-06-11T14:00:19,23.9,53.6
2022-06-11T14:30:17,23.8,55.0
2022-06-11T14:43:22,23.9,59.1
2022-06-11T14:45:02,24.0,64.6
2022-06-11T14:50:02,24.0,67.1
2022-06-11T14:55:02,24.1,69.5
2022-06-11T15:00:17,24.1,72.0
2022-06-11T15:05:02,24.1,72.1
2022-06-11T15:10:02,24.2,70.1
2022-06-11T15:15:09,24.1,71.3
2022-06-11T15:20:02,24.1,71.3
2022-06-11T15:25:02,24.1,71.7
